,Description,Duration,Location,Occurred,Posted,Reported,Shape
0,My english its not too good.but I saw aroun 8 disc en they flew erratic thats why cought my atencion .  i was thinking they was some kind of drones flying around the equestrian center....but they dont....for sure.it was daylight..they was looking like sunglasses fliyng.white light came fron them.and then they just vanished...like evaporated((NUFORC Note:  We have changed the date above.  PD)),Duration:3 minutes,"Location: Tryon Equestrian Center, NC",Occurred : 7/16/2016 19:50  (Entered as : 07/17/16 19:50),Posted: 7/22/2016,Reported: 7/17/2016 7:09:40 AM 07:09,Shape: Disk
1,"Star-looking dots, dimming into distance of the clear sky.Star-looking dots, no flashing.  When we saw them, firstly, they were randomly located in the daytime sky (We guessed they were just over Belarus, located an the east side of the sky), bright and clear visible, slowly moving south.  One of them stopped.  After 5 minutes the dots lined up, grouped together and continued moving, they started dimming, after 20 minutes we could barely see them, and it was hard to distinguish them from the sight noise (entoptic phenomenon), but it was still possible to catch them so weakly seen.",Duration:30 minutes,"Location: Vilnius (Lithuania), ",Occurred : 7/16/2016 19:45  (Entered as : 07/16/2016 19:45),Posted: 7/22/2016,Reported: 7/16/2016 10:40:09 AM 10:40,Shape: Other
2,"Saw multiple flying objects,  First there were three, and then one, and then 3 again.  Heading toward Iola.((NUFORC Note:  Witness provides no contact information.  PD))",Duration:30 minutes,"Location: Waupaca, WI",Occurred : 7/16/2016 19:30  (Entered as : 07/16/16 19:30),Posted: 8/19/2016,Reported: 8/17/2016 6:52:29 PM 18:52,Shape: Teardrop
3,"It was triangular with three large circular lights one in each corner, and a smaller red light in the center the object was dark colored and had raised features each of the three sides may have been about 60 to 80 yards.  I'm submitting a photo that I found online of the exact object in detail.((NUFORC Note:  We spoke via telephone with the source of the report, and he sounded to us to be sincere and serious-minded.  We suspect that he is a highly reliable witness.  PD))",Duration:00:05,"Location: Miami, FL",Occurred : 7/16/2016 15:30  (Entered as : 07/16/2016 15:30),Posted: 12/5/2016,Reported: 12/4/2016 3:04:20 PM 15:04,Shape: Triangle
4,"driving down to downtown Vancouver seen a blimp shaped object towards west hills of Portland.  I lost sight in downtown Vancouver, tried to find later, but was gone.It was silver colored moving very slow.  It could have been a blimp, but too far away.  I've never seen a blimp here that's why i wondered.  i,ve always been interested when young in ariel,wash walking up n dubois road my cousins and i all seen an object zigzag entire sky and disappeared.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:1 minutes,"Location: Vancouver, WA",Occurred : 7/16/2016 13:00  (Entered as : 07/16/2016 13:00),Posted: 7/22/2016,Reported: 7/16/2016 6:08:55 PM 18:08,Shape: Oval
5,"Red linear lights and golden organically moving lightMy husband and I saw red, randomly flashing lights - sometimes the lights flashed in a linear fashion like 1, 2, 3, 4, 5 down a row.  Lights seemed like they went to or from the center in at times.  There was a bit (30 seconds, 1 minute - 2 minutes) in between events. Then there was a golden light that was moved organically - like a fast moving bird - in curves and loops.  Quick occurrences--like 3 seconds at a time.Went in the car to try and see if we could get closer, but weren’t able to locate it due to the tall houses in our neighborhood.When we came back we were still able to see it from the backyard in the same place.",Duration:20 minutes,"Location: Land O'Lakes, FL",Occurred : 7/16/2016 12:45  (Entered as : 07/16/16 12:45),Posted: 7/22/2016,Reported: 7/16/2016 7:02:53 PM 19:02,Shape: Light
6,"I caught it on my camera, it's shooting around all different directions, almost looks like a dragon fly, but a UFO sized one, it's changing shapes, it's still here.  I noticed it 20 minutes ago.  I also saw a green shooting object shoot down near it.",Duration:20 minutes,"Location: Rochester, NH",Occurred : 7/16/2016 03:30  (Entered as : 7/16/16 3:30),Posted: 7/22/2016,Reported: 7/16/2016 12:39:56 AM 00:39,Shape: Teardrop
7,"Bright, white, blue and red flashing lights above Quigley Canyon in Hailey, Idaho.noticed one bright semi flashing lights high above the mtns on the north side of quigley canyon.After watching through binoculars and a spotting scope, I noticed at least four other shapes flashing the same red, blue and bright white.   The closest one was the brightest, but through the Binos each one stood out.  It was almost like a police helicopter but the strobing of lights was too quick and varying, sometimes it would really get bright.  From a distance it looked like it had a pyramid shape of light around it.  Moved some at the begining, but then seemed to stay in the same place.  Too high up for a helicopter and also way over the middle of nowhere, also hovering in the same place for at least an hour.  No sound.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:hours?,"Location: Hailey, ID",Occurred : 7/16/2016 03:00  (Entered as : 07/16/2016 3:00),Posted: 7/22/2016,Reported: 7/16/2016 3:10:46 AM 03:10,Shape: Light
8,"Two separate blue, red, and green flashing orbs over southwest St Johns CountyI live in southern st johns county and went outside at approx 1:45 to retrieve something from my car when I noticed a reddish colored orb to the southwest just above the tree line which I first thought was a bright planet.  After watching it for a while it seemed to have flashing lights and be moving very slowly so I monitored it to see if it was a plane or some kind of aircraft.  I grabbed my binoculars out of my car so I could see more clearly.  It looked like some kind of flying craft with multi-colored lights flashing in blue, red, and green.  I went in and got my husband so he could tell me I was crazy and he came out and looked at it.  He said he had no idea what out was, but out was pretty strange looking.  It wasn't a plane because it was moving too slowly and appeared to be hovering and then moving at a slow speed.  We were about to come back in the  house and looked out to the west and saw a second one that looked exactly the same as the other, just above! the tree line.  They looked to be about 5 miles away (I live about 2 miles from the ocean).  Anyway, we came in at 2:20 after we lost sight of the first one behind the trees.  Strange, never saw anything like that.",Duration:30 minutes,"Location: St. Augustine, FL",Occurred : 7/16/2016 02:00  (Entered as : 07/16/16 2:00),Posted: 7/22/2016,Reported: 7/15/2016 11:42:51 PM 23:42,Shape: Disk
9,"SOHO C3 data anomaly with 2 triangular craft and connecting energy beamAnomaly in SOHO C3 data @ 2016/07/16 00:18.What is that top left of center when looking at NASA SOHO data at http://sohowww.nascom.nasa.gov/data/REPROCESSING/Completed/2016/c3/20160716/20160716_0018_c3_1024.jpg   Why is it interesting?  Well here are some zooms I created from the SOHO C3 2016/07/16 00:06, 00:18 and 00:30 datasets.1. First area of interest is our location 12 seconds before the anomaly appears so we are using data from SOHO C3 @ 2016/07/16 00:06.Zooming in on the area circled and you can see a faint triangular shape. The full original NASA image is available at http://sohowww.nascom.nasa.gov/data/REPROCESSING/Completed/2016/c3/20160716/20160716_0006_c3_1024.jpg. Zoom into the 11 o'clock segment.2. Wow! C3 data from the same spot 12 seconds later @ 00:18 with something definite and new, image available at http://sohowww.nascom.nasa.gov/data/REPROCESSING/Completed/2016/c3/20160716/20160716_0018_c3_1024.jpg 3. Enhancement the second area of interest.  Overlay of http://sohowww.nascom.nasa.gov/data/REPROCESSING/Completed/2016/c3/20160716/20160716_0030_c3_1024.jpg on http://sohowww.nascom.nasa.gov/data/REPROCESSING/Completed/2016/c3/20160716/20160716_0018_c3_1024.jpg which enhances the smaller object on left 4-6.  I've included copies of the original SOHO photos.7. A closer zoom of the 1.8. Beam (or whatever) endpoint.9-10. Some close ups of the area of interest.Details on the SOHO project available here http://sohowww.nascom.nasa.gov/ This SOHO C3 anomaly analysis spans a duration between 00:06 and 00:30 hours on the 7th of July 2016. There are anomalies in SOHO C3 data from time to time though I've never seen anything this 'defined'.  Details of analysis available at https://www.facebook.com/fanstream/posts/10208726483532159&#65279;",Duration:24 seconds,"Location: Mullingar (Ireland), ",Occurred : 7/16/2016 00:18  (Entered as : 07/16/2016 00:18),Posted: 8/2/2016,Reported: 7/23/2016 11:42:04 AM 11:42,Shape: Triangle
