,Description,Duration,Location,Occurred,Posted,Reported,Shape
0,"Was driving down Melinda Rd.  A bright light illuminated the road, so I looked up, thinking it was the moon, and wondering how it could be so bright, but the moon was way off, rather it was a giant fireball of the whitest light shooting straight down and flashing on its descent.",Duration:15-23 seconds,"Location: Mission Viejo, CA",Occurred : 4/10/2017 21:06  (Entered as : 04/10/17 21:06),Posted: 4/13/2017,Reported: 4/10/2017 9:28:32 PM 21:28,Shape: Fireball
1,"Was driving out of my driveway turning left onto the street, when a bright flash in a distance lit up the dark sky for a few seconds and a fire ball with a streak was flying for about 4 seconds, until it flashed and disappeared.((NUFORC Note:  Possible meteor, we wonder??  PD))((NUFORC Note:  Source of the report elects to remain totally anonymous; provides no contact information.  PD))",Duration:5 seconds,"Location: Whittier, CA",Occurred : 4/10/2017 21:00  (Entered as : 04/10/17 21:00),Posted: 4/13/2017,Reported: 4/10/2017 11:54:51 PM 23:54,Shape: Fireball
2,"Orange lights in the Northern East of the sky of Brawley, Ca.Noticed a line of 4 orange diagonal lines of lights and to the right 2 of the same direction towards the Northern East of Brawley, CA.((NUFORC Note:  Source of the report elects to remain totally anonymous; provides no contact information.  PD))",Duration:30 minutes,"Location: Brawley, CA",Occurred : 4/10/2017 21:00  (Entered as : 04/11/2017 21:00),Posted: 4/13/2017,Reported: 4/11/2017 12:43:40 AM 00:43,Shape: Light
3,"GREEN SPEEDING LIGHT THAT STOPS AND THEN SPEEDS OFF AND DISAPPEARSWAS WALKING OUTSIDE HOMEDEPOT LOOKED UP SEE WHAT LOOKED LIKE A GREEN FALLING STAR, BUT IT STOPPED FOR A BRIEF SECOND THEN IT SPED AWAY AND DISAPPEARED.",Duration:3 seconds,"Location: Austin, TX",Occurred : 4/10/2017 20:50  (Entered as : 04/10/17 20:50),Posted: 4/13/2017,Reported: 4/10/2017 7:00:04 PM 19:00,Shape: Circle
4,"Green light followed by a fiery shape falling in San Diego hillsDriving south on I-5 through San Diego; Pale green light flash in the sky, reminiscent of lighting, looked above the dashboard to see a greenish light shape about 200 yards diagonally above us in the sky.  The shape immediately broke apart in an elongated path and you could literally see flames shooting downwards, where is disappeared towards the hills to our right.",Duration:3 seconds,"Location: Pacific Beach, CA",Occurred : 4/10/2017 20:45  (Entered as : 04/11/17 20:45),Posted: 4/13/2017,Reported: 4/11/2017 1:24:18 AM 01:24,Shape: Fireball
5,"Star-like object moves slowly across the sky until changing shape and fading out.I stepped out of the house for a few minutes to view the sky and full moon.  A few wispy clouds in a moon lit sky were observed, with some stars visible.  As I looked to the north, above my house, I saw what at first I thought was a star.  As I continued to look at it I noticed it was moving slowly in a linear trajectory, NNW to ESE. While keeping my eye on the object it appeared to pick up speed.  While doing so the bright round light changed to a more defined 'fuselage' with no wings.  It continued on until it slowly extinguished its light and faded out.  A possibility is that it went above a lower cloud bank, but I feel that was not the case.  This sighting is very similar to one I had over my house two months ago which I also reported herein.  That object, however, was lower in altitude and much brighter.Both object changed from a round light to an cylindrical light before fading out. No sound was heard from either object, no other lights visible on the craft, and the speed was about that of an aircraft.  Height estimate for this sighting I would have to guess at being 10 to 15 thousand feet, but it was impossible to know for sure.  Since I live a few miles from the Atlantic Ocean, the trajectory would take it out over the ocean as it continued.  This area is a 'hot spot' for UFOs for some reason.  Other local residents have hesitantly told me of their sightings, when I casually brought up the subject.  Some of their stories were quite extraordinary.",Duration:2 minutes,"Location: South Kingstown, RI",Occurred : 4/10/2017 19:15  (Entered as : 04/10/17 19:15),Posted: 4/13/2017,Reported: 4/10/2017 8:05:57 PM 20:05,Shape: Light
6,"Sudden Green/Blue Flash over entire sky with source in the west toward the coast in Oceanside-CarlsbadI was standing outside discussing a car accident with my neighbor.  Many neighbors were outside.  I was facing west, the sun had just set, and the sky lit up green/blue for a few seconds.  With the source over by the coast in what looked to be the Carlsbad and Oceanside Area.  Was over very suddenly.((NUFORC Note:  Possible green meteor, we wonder?  We spoke via telephone with the witness, and she sounded to us to be quite sober-minded.  PD))",Duration:<5 seconds,"Location: San Marcos, CA",Occurred : 4/10/2017 19:00  (Entered as : 4/10/17 19:00),Posted: 4/13/2017,Reported: 4/11/2017 12:16:43 AM 00:16,Shape: Light
7,"I was driving and spotted 3 objects slowly moving across the sky.  They were not drones.  They were to big to be drones.  They flew in a coordinated line.  They were brown.  They didn't make a noise, and they were not planes.  These looked completely different from anything I've ever seen.((NUFORC Note:  Source of the report elects to remain totally anonymous; provides little contact information.  PD))",Duration:5 minutes,"Location: Wichita, KS",Occurred : 4/10/2017 11:30  (Entered as : 04/1020117 11:30),Posted: 4/13/2017,Reported: 4/10/2017 12:16:52 PM 12:16,Shape: Disk
8,"Witnessed ""V"" shape craft, intercepted and escorted by jet.From around 34,000 feet, I noticed in a completely clear sky a chevron shaped object.  It was dark grey.  There were no clouds anywhere, and no other objects in the sky.We began our descent into Denver.  I estimate when I noticed it it was around 30,000 feet.  I believe it was moving the same direction we were only slightly slower.It appeared as a V.  As we descended, it flatted out in my perception and was completely flat and extremely thin.I witnessed a fast moving plane come in to my sight.  It seemed to have a wider jet trail that was angled more like a ""V,"" instead of a ""="" stream.The plane came in fast.  I couldn't make out what type of jet it was but it flew towards the object and made a quick turn around.  I could tell because of it's jet stream it was going towards the craft and then parallel with the craft.  It was above and to the side of the V shaped object.  It remained over the object until it was out of my vision.On Southwest flight.  This was probably somewhere in that New Mexico/North Texas/Southest Colorado area.((ADDENDUM FROM WITNESS))Seemed more of a darker gray, more black.  That's why it stuck out. On the smaller her I couldn't tell.  It was fast and made what looked like a a power slide maneuver when it got over top.  Once over top it seemed to do more of a hover/drift rather than fly.  So I don't think it was a commercial type jet.  I don't think those hover planes can do that maneuver that high in the air, but that's what it looked like.Yes, it looked like it ""wing manned"" it or was guiding it away.I'm not on crew.  I asked one pilot, ""What the hell was that, and he just looked at me and said, ""I didn't see anything.""((END ADDENDUM))",Duration:7 minutes,"Location: Colorado (southeast part), CO",Occurred : 4/10/2017 09:00  (Entered as : 4/10 9:00),Posted: 4/13/2017,Reported: 4/10/2017 10:05:10 AM 10:05,Shape: Chevron
9,"I was staring at the sky while walking home after buying hair shampoo, then suddenly a light shape circle appeared and it was moving so fast that I only saw it in an instance and disappeared upon seeing the star which was not blinking most likely it’s a planet yet not certain if its venus or mars.  This morning was just an ordinary day yet with that encounter I felt and sensed so different and unique with what I saw.",Duration:Few seconds,"Location: Malolos City (Philippines), ",Occurred : 4/10/2017 05:00  (Entered as : 04/10/17 05:00),Posted: 4/13/2017,Reported: 4/9/2017 11:48:22 PM 23:48,Shape: Sphere
